"tstamp","typ","outpath","u_ld_0","u_ld_1","emin","emax","alphamin","alphamax","betamin","betamax","size_lc","errval","spot_radius","midlat","latwidth","n_spots_min","n_spots_max","decomposeed","n_lcs"
2022_02_08_08_13,train,results/2022_02_08_08_13_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,30,2000,5e-12,0.01,random,1e-05,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_08_08_13,validate,results/2022_02_08_08_13_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,30,2000,5e-12,0.01,random,1e-05,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_08_09_13,train,results/2022_02_08_09_13_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,30,2000,5e-12,0.01,random,1.0,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_08_09_13,validate,results/2022_02_08_09_13_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,30,2000,5e-12,0.01,random,1.0,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_08_10_00,train,results/2022_02_08_10_00_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,30,2000,5e-12,0.01,random,5.0,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_08_10_00,validate,results/2022_02_08_10_00_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,30,2000,5e-12,0.01,random,5.0,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_08_14_14,train,results/2022_02_08_14_14_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,10,2000,5e-12,0.01,random,5.0,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_08_14_14,validate,results/2022_02_08_14_14_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,10,2000,5e-12,0.01,random,5.0,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_09_10_46,train,results/2022_02_09_10_46_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,30,60,2000,5e-12,0.01,random,5.0,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_09_10_46,validate,results/2022_02_09_10_46_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,30,60,2000,5e-12,0.01,random,5.0,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_09_11_30,train,results/2022_02_09_11_30_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,30,2000,5e-12,0.01,random,5.0,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_09_11_30,validate,results/2022_02_09_11_30_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,30,2000,5e-12,0.01,random,5.0,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_09_15_15,train,results/2022_02_09_15_15_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,30,2000,5e-12,0.01,random,5.0,1,20,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_09_15_15,validate,results/2022_02_09_15_15_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,30,2000,5e-12,0.01,random,5.0,1,20,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_09_15_33,train,results/2022_02_09_15_33_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,3,2000,5e-12,0.01,random,5.0,10,30,decompose_ed_from_UCDs_and_Davenport,10000000
2022_02_09_15_33,validate,results/2022_02_09_15_33_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,3,2000,5e-12,0.01,random,5.0,10,30,decompose_ed_from_UCDs_and_Davenport,1000000
2022_02_09_15_34,train,results/2022_02_09_15_34_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,3,2000,5e-12,0.01,random,5.0,10,30,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_09_15_34,validate,results/2022_02_09_15_34_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,3,2000,5e-12,0.01,random,5.0,10,30,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_23_06_10,train,results/2022_02_23_06_10_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,3,2000,5e-12,0.01,random,list,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_23_06_10,validate,results/2022_02_23_06_10_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,3,2000,5e-12,0.01,random,list,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_23_07_15,train,results/2022_02_23_07_15_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,3,2000,5e-12,0.01,random,list,10,30,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_23_07_15,validate,results/2022_02_23_07_15_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,3,2000,5e-12,0.01,random,list,10,30,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_23_08_36,train,results/2022_02_23_08_36_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,list,10,30,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_23_08_36,validate,results/2022_02_23_08_36_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,list,10,30,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_24_12_05,train,results/2022_02_24_12_05_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,20,2000,5e-12,0.01,random,5.0,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_24_12_05,validate,results/2022_02_24_12_05_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,20,2000,5e-12,0.01,random,5.0,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_24_12_24,train,results/2022_02_24_12_24_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,20,2000,5e-12,0.01,random,list,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_24_12_24,validate,results/2022_02_24_12_24_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,20,2000,5e-12,0.01,random,list,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_24_12_40,train,results/2022_02_24_12_40_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,50,2000,5e-12,0.01,random,list,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_24_12_40,validate,results/2022_02_24_12_40_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,50,2000,5e-12,0.01,random,list,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_24_12_55,train,results/2022_02_24_12_55_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,50,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_24_12_55,validate,results/2022_02_24_12_55_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,50,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_25_07_27,train,results/2022_02_25_07_27_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,50,2000,5e-12,0.01,random,list,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_25_07_27,validate,results/2022_02_25_07_27_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,50,2000,5e-12,0.01,random,list,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_25_09_45,train,results/2022_02_25_09_45_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,20,2000,5e-12,0.01,random,list,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_25_09_45,validate,results/2022_02_25_09_45_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,20,20,2000,5e-12,0.01,random,list,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_25_13_46,train,results/2022_02_25_13_46_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,15,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_25_13_46,validate,results/2022_02_25_13_46_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,15,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_27_06_31,train,results/2022_02_27_06_31_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,12,13,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_27_06_31,validate,results/2022_02_27_06_31_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,12,13,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_27_07_01,train,results/2022_02_27_07_01_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,16,16,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_27_07_01,validate,results/2022_02_27_07_01_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,16,16,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_27_07_24,train,results/2022_02_27_07_24_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,40,40,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_27_07_24,validate,results/2022_02_27_07_24_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,40,40,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_02_28_10_33,train,results/2022_02_28_10_33_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_02_28_10_33,validate,results/2022_02_28_10_33_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_01_07_56,train,results/2022_03_01_07_56_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,50,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_01_07_56,validate,results/2022_03_01_07_56_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,50,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_01_10_38,train,results/2022_03_01_10_38_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,50,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_01_10_38,validate,results/2022_03_01_10_38_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,50,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_01_14_17,train,results/2022_03_01_14_17_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.99,2.01,30,30,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_01_14_17,validate,results/2022_03_01_14_17_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.99,2.01,30,30,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_01_17_00,train,results/2022_03_01_17_00_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.99,2.01,10,10,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_01_17_00,validate,results/2022_03_01_17_00_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.99,2.01,10,10,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_24_15_18,train,results/2022_03_24_15_18_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_24_15_18,validate,results/2022_03_24_15_18_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_24_16_02,train,results/2022_03_24_16_02_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.999,2.001,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_24_16_02,validate,results/2022_03_24_16_02_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.999,2.001,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_24_16_54,train,results/2022_03_24_16_54_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,38,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_24_16_54,validate,results/2022_03_24_16_54_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,38,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_07_31,train,results/2022_03_25_07_31_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_07_31,validate,results/2022_03_25_07_31_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_08_58,train,results/2022_03_25_08_58_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_08_58,validate,results/2022_03_25_08_58_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_09_28,train,results/2022_03_25_09_28_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_09_28,validate,results/2022_03_25_09_28_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_09_36,train,results/2022_03_25_09_36_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_09_36,validate,results/2022_03_25_09_36_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_12_46,train,results/2022_03_25_12_46_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,10,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_12_46,validate,results/2022_03_25_12_46_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,10,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_13_08,train,results/2022_03_25_13_08_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,20,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_13_08,validate,results/2022_03_25_13_08_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,20,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_14_43,train,results/2022_03_25_14_43_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,40,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_14_43,validate,results/2022_03_25_14_43_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,40,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_18_10,train,results/2022_03_25_18_10_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,40,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_18_10,validate,results/2022_03_25_18_10_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,40,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_18_31,train,results/2022_03_25_18_31_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,20,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_18_31,validate,results/2022_03_25_18_31_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,20,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_18_51,train,results/2022_03_25_18_51_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,10,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_18_51,validate,results/2022_03_25_18_51_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,10,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_25_19_16,train,results/2022_03_25_19_16_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_25_19_16,validate,results/2022_03_25_19_16_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2,5,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_26_07_09,train,results/2022_03_26_07_09_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_26_07_09,validate,results/2022_03_26_07_09_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_26_07_36,train,results/2022_03_26_07_36_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_26_07_36,validate,results/2022_03_26_07_36_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,1,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_14_19,train,results/2022_03_28_14_19_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,10,10,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_14_19,validate,results/2022_03_28_14_19_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1,2,2000,5e-12,0.01,random,5,10,10,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_14_45,train,results/2022_03_28_14_45_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,10,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_14_45,validate,results/2022_03_28_14_45_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,10,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_18_36,train,results/2022_03_28_18_36_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,20,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_18_36,validate,results/2022_03_28_18_36_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,20,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_19_02,train,results/2022_03_28_19_02_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,40,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_19_02,validate,results/2022_03_28_19_02_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,40,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_19_24,train,results/2022_03_28_19_24_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,10,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_19_24,validate,results/2022_03_28_19_24_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,10,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_19_45,train,results/2022_03_28_19_45_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,20,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_19_45,validate,results/2022_03_28_19_45_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,20,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_20_10,train,results/2022_03_28_20_10_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,40,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_20_10,validate,results/2022_03_28_20_10_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,40,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_20_38,train,results/2022_03_28_20_38_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_20_38,validate,results/2022_03_28_20_38_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_20_59,train,results/2022_03_28_20_59_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_20_59,validate,results/2022_03_28_20_59_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_21_22,train,results/2022_03_28_21_22_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_21_22,validate,results/2022_03_28_21_22_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_21_53,train,results/2022_03_28_21_53_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_21_53,validate,results/2022_03_28_21_53_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,2.5,5,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_22_14,train,results/2022_03_28_22_14_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1.25,2.5,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_22_14,validate,results/2022_03_28_22_14_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,1.25,2.5,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_22_36,train,results/2022_03_28_22_36_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,100000
2022_03_28_22_36,validate,results/2022_03_28_22_36_flares_validate.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,10,20,2000,5e-12,0.01,random,5,1,3,decompose_ed_from_UCDs_and_Davenport,10000
2022_03_28_22_57,train,results/2022_03_28_22_57_flares_train.csv,0.5079,0.2239,0.1,1000000.0,1.5,2.5,5,10,2000,5e-12,0.01,random,5,3,5,decompose_ed_from_UCDs_and_Davenport,100000
